"question","response"
"How calibration works","Four corner flow: app shows four targets in order; you tap each with the pointer; app records camera-space points; homography is solved and saved to configs/calibration.yaml. Optional validation step shows reprojection error. See docs/05_calibration_ux.md."
"Recalibrate","Recalibrate: run smartpi calibrate again. Tap all four corners accurately with the pointer steady. If the camera was moved, calibration is invalid. Check reprojection error after calibration; if high, repeat or adjust camera angle. See docs/07_troubleshooting.md."
"Recalibration","Recalibrate: run smartpi calibrate again. Tap all four corners accurately with the pointer steady. If the camera was moved, calibration is invalid. Check reprojection error after calibration; if high, repeat or adjust camera angle. See docs/07_troubleshooting.md."
"Calibration failed","Recalibrate: run smartpi calibrate again. Tap all four corners accurately with the pointer steady. If the camera was moved, calibration is invalid. Check reprojection error after calibration; if high, repeat or adjust camera angle. See docs/07_troubleshooting.md."
"Bad calibration","Recalibrate: run smartpi calibrate again. Tap all four corners accurately with the pointer steady. If the camera was moved, calibration is invalid. Check reprojection error after calibration; if high, repeat or adjust camera angle. See docs/07_troubleshooting.md."
"Cursor wrong","Recalibrate: run smartpi calibrate again. Tap all four corners accurately with the pointer steady. If the camera was moved, calibration is invalid. Check reprojection error after calibration; if high, repeat or adjust camera angle. See docs/07_troubleshooting.md."
"Alignment off","Recalibrate: run smartpi calibrate again. Tap all four corners accurately with the pointer steady. If the camera was moved, calibration is invalid. Check reprojection error after calibration; if high, repeat or adjust camera angle. See docs/07_troubleshooting.md."
"Recalibrate after moving camera","Recalibrate: run smartpi calibrate again. Tap all four corners accurately with the pointer steady. If the camera was moved, calibration is invalid. Check reprojection error after calibration; if high, repeat or adjust camera angle. See docs/07_troubleshooting.md."
"DST_PTS","DST_PTS are the fixed projector-space coordinates for the four corners used in calibration. The wizard maps the four camera-space points you tap to these four projector corners to compute the homography."
"Destination points","DST_PTS are the fixed projector-space coordinates for the four corners used in calibration. The wizard maps the four camera-space points you tap to these four projector corners to compute the homography."
"Projector corners","DST_PTS are the fixed projector-space coordinates for the four corners used in calibration. The wizard maps the four camera-space points you tap to these four projector corners to compute the homography."
"Fixed corners","DST_PTS are the fixed projector-space coordinates for the four corners used in calibration. The wizard maps the four camera-space points you tap to these four projector corners to compute the homography."
"Run app","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"How to run","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"Start app","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"Launch app","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"Run demo","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"smartpi run","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"Run command","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"Start demo","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"Run the app","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"Fullscreen","Run smartpi run --fullscreen. The app uses Pygame fullscreen mode. For kiosk, use systemd or autostart so the app starts fullscreen at boot."
"Run fullscreen","Run smartpi run --fullscreen. The app uses Pygame fullscreen mode. For kiosk, use systemd or autostart so the app starts fullscreen at boot."
"--fullscreen","Run smartpi run --fullscreen. The app uses Pygame fullscreen mode. For kiosk, use systemd or autostart so the app starts fullscreen at boot."
"Fullscreen mode","Run smartpi run --fullscreen. The app uses Pygame fullscreen mode. For kiosk, use systemd or autostart so the app starts fullscreen at boot."
"Healthcheck","Run smartpi healthcheck (or ./scripts/healthcheck.sh). It reports PASS/FAIL for the camera, resolution, FPS, and optionally CPU temperature. Fix any failures before calibrating or running the demo."
"smartpi healthcheck","Run smartpi healthcheck (or ./scripts/healthcheck.sh). It reports PASS/FAIL for the camera, resolution, FPS, and optionally CPU temperature. Fix any failures before calibrating or running the demo."
"Check setup","Run smartpi healthcheck (or ./scripts/healthcheck.sh). It reports PASS/FAIL for the camera, resolution, FPS, and optionally CPU temperature. Fix any failures before calibrating or running the demo."
"Verify setup","Run smartpi healthcheck (or ./scripts/healthcheck.sh). It reports PASS/FAIL for the camera, resolution, FPS, and optionally CPU temperature. Fix any failures before calibrating or running the demo."
"Health check","Run smartpi healthcheck (or ./scripts/healthcheck.sh). It reports PASS/FAIL for the camera, resolution, FPS, and optionally CPU temperature. Fix any failures before calibrating or running the demo."
"Run healthcheck","Run smartpi healthcheck (or ./scripts/healthcheck.sh). It reports PASS/FAIL for the camera, resolution, FPS, and optionally CPU temperature. Fix any failures before calibrating or running the demo."
"Test camera","Run smartpi healthcheck (or ./scripts/healthcheck.sh). It reports PASS/FAIL for the camera, resolution, FPS, and optionally CPU temperature. Fix any failures before calibrating or running the demo."
"Check camera","Run smartpi healthcheck (or ./scripts/healthcheck.sh). It reports PASS/FAIL for the camera, resolution, FPS, and optionally CPU temperature. Fix any failures before calibrating or running the demo."
"bom command","smartpi bom prints the main BOM from hardware/bom.csv to stdout. Use --pen to also print hardware/ir_pen/pen_bom.csv. Use --repo to set repo path (default .). Exits with 1 if main BOM file is missing."
"smartpi bom","smartpi bom prints the main BOM from hardware/bom.csv to stdout. Use --pen to also print hardware/ir_pen/pen_bom.csv. Use --repo to set repo path (default .). Exits with 1 if main BOM file is missing."
"Print BOM","smartpi bom prints the main BOM from hardware/bom.csv to stdout. Use --pen to also print hardware/ir_pen/pen_bom.csv. Use --repo to set repo path (default .). Exits with 1 if main BOM file is missing."
"BOM command","smartpi bom prints the main BOM from hardware/bom.csv to stdout. Use --pen to also print hardware/ir_pen/pen_bom.csv. Use --repo to set repo path (default .). Exits with 1 if main BOM file is missing."
"bom --pen","smartpi bom prints the main BOM from hardware/bom.csv to stdout. Use --pen to also print hardware/ir_pen/pen_bom.csv. Use --repo to set repo path (default .). Exits with 1 if main BOM file is missing."
"--repo","smartpi bom prints the main BOM from hardware/bom.csv to stdout. Use --pen to also print hardware/ir_pen/pen_bom.csv. Use --repo to set repo path (default .). Exits with 1 if main BOM file is missing."
"BOM output","smartpi bom prints the main BOM from hardware/bom.csv to stdout. Use --pen to also print hardware/ir_pen/pen_bom.csv. Use --repo to set repo path (default .). Exits with 1 if main BOM file is missing."
"Export diagnostics","Run smartpi export-diagnostics (or ./scripts/export_diagnostics.sh). Default output is diagnostics_bundle.tar.gz with system info and optionally config (excluding calibration). Use -o path and --no-config as needed."
"export-diagnostics","Run smartpi export-diagnostics (or ./scripts/export_diagnostics.sh). Default output is diagnostics_bundle.tar.gz with system info and optionally config (excluding calibration). Use -o path and --no-config as needed."
"Diagnostics bundle","Run smartpi export-diagnostics (or ./scripts/export_diagnostics.sh). Default output is diagnostics_bundle.tar.gz with system info and optionally config (excluding calibration). Use -o path and --no-config as needed."
"Bug report bundle","Run smartpi export-diagnostics (or ./scripts/export_diagnostics.sh). Default output is diagnostics_bundle.tar.gz with system info and optionally config (excluding calibration). Use -o path and --no-config as needed."
"--no-config","Run smartpi export-diagnostics (or ./scripts/export_diagnostics.sh). Default output is diagnostics_bundle.tar.gz with system info and optionally config (excluding calibration). Use -o path and --no-config as needed."
"Diagnostics output","Run smartpi export-diagnostics (or ./scripts/export_diagnostics.sh). Default output is diagnostics_bundle.tar.gz with system info and optionally config (excluding calibration). Use -o path and --no-config as needed."
"No camera","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"Camera not detected","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"Camera not found","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"No video device","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"Camera fails","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"USB camera not working","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"CSI not detected","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"Fix camera","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"Camera permission","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"Video group","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"dev video0","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"Low FPS","Lower resolution in configs/app.yaml. Lock exposure if supported. Check Pi temperature and cooling. Close other apps. Try a different profile (e.g. dark_room or daylight) in configs/profiles/ to match lighting."
"Slow FPS","Lower resolution in configs/app.yaml. Lock exposure if supported. Check Pi temperature and cooling. Close other apps. Try a different profile (e.g. dark_room or daylight) in configs/profiles/ to match lighting."
"Frame rate","Lower resolution in configs/app.yaml. Lock exposure if supported. Check Pi temperature and cooling. Close other apps. Try a different profile (e.g. dark_room or daylight) in configs/profiles/ to match lighting."
"Improve FPS","Lower resolution in configs/app.yaml. Lock exposure if supported. Check Pi temperature and cooling. Close other apps. Try a different profile (e.g. dark_room or daylight) in configs/profiles/ to match lighting."
"FPS drop","Lower resolution in configs/app.yaml. Lock exposure if supported. Check Pi temperature and cooling. Close other apps. Try a different profile (e.g. dark_room or daylight) in configs/profiles/ to match lighting."
"Lag","Lower resolution in configs/app.yaml. Lock exposure if supported. Check Pi temperature and cooling. Close other apps. Try a different profile (e.g. dark_room or daylight) in configs/profiles/ to match lighting."
"Sluggish","Lower resolution in configs/app.yaml. Lock exposure if supported. Check Pi temperature and cooling. Close other apps. Try a different profile (e.g. dark_room or daylight) in configs/profiles/ to match lighting."
"Performance","Lower resolution in configs/app.yaml. Lock exposure if supported. Check Pi temperature and cooling. Close other apps. Try a different profile (e.g. dark_room or daylight) in configs/profiles/ to match lighting."
"Thermal throttle","Lower resolution in configs/app.yaml. Lock exposure if supported. Check Pi temperature and cooling. Close other apps. Try a different profile (e.g. dark_room or daylight) in configs/profiles/ to match lighting."
"Lighting","Use configs/profiles/ to match the environment: classroom, daylight, or dark_room. Too bright: use darker profile or increase pointer brightness. Too dark: increase exposure or use dark_room profile; ensure pointer is visible to camera."
"Too bright","Use configs/profiles/ to match the environment: classroom, daylight, or dark_room. Too bright: use darker profile or increase pointer brightness. Too dark: increase exposure or use dark_room profile; ensure pointer is visible to camera."
"Too dark","Use configs/profiles/ to match the environment: classroom, daylight, or dark_room. Too bright: use darker profile or increase pointer brightness. Too dark: increase exposure or use dark_room profile; ensure pointer is visible to camera."
"Ambient light","Use configs/profiles/ to match the environment: classroom, daylight, or dark_room. Too bright: use darker profile or increase pointer brightness. Too dark: increase exposure or use dark_room profile; ensure pointer is visible to camera."
"Room lighting","Use configs/profiles/ to match the environment: classroom, daylight, or dark_room. Too bright: use darker profile or increase pointer brightness. Too dark: increase exposure or use dark_room profile; ensure pointer is visible to camera."
"Detection lighting","Use configs/profiles/ to match the environment: classroom, daylight, or dark_room. Too bright: use darker profile or increase pointer brightness. Too dark: increase exposure or use dark_room profile; ensure pointer is visible to camera."
"Pointer not visible","Use configs/profiles/ to match the environment: classroom, daylight, or dark_room. Too bright: use darker profile or increase pointer brightness. Too dark: increase exposure or use dark_room profile; ensure pointer is visible to camera."
"App crashes","Run pip install -r requirements.txt (or make install). Ensure Python 3.10+. If headless, you need a virtual display or connected projector; Pygame needs a display. Run smartpi healthcheck and check terminal or logs."
"Wont start","Run pip install -r requirements.txt (or make install). Ensure Python 3.10+. If headless, you need a virtual display or connected projector; Pygame needs a display. Run smartpi healthcheck and check terminal or logs."
"Crash on start","Run pip install -r requirements.txt (or make install). Ensure Python 3.10+. If headless, you need a virtual display or connected projector; Pygame needs a display. Run smartpi healthcheck and check terminal or logs."
"Import error","Run pip install -r requirements.txt (or make install). Ensure Python 3.10+. If headless, you need a virtual display or connected projector; Pygame needs a display. Run smartpi healthcheck and check terminal or logs."
"Display error","Run pip install -r requirements.txt (or make install). Ensure Python 3.10+. If headless, you need a virtual display or connected projector; Pygame needs a display. Run smartpi healthcheck and check terminal or logs."
"Pygame display","Run pip install -r requirements.txt (or make install). Ensure Python 3.10+. If headless, you need a virtual display or connected projector; Pygame needs a display. Run smartpi healthcheck and check terminal or logs."
"Headless","Run pip install -r requirements.txt (or make install). Ensure Python 3.10+. If headless, you need a virtual display or connected projector; Pygame needs a display. Run smartpi healthcheck and check terminal or logs."
"App fail","Run pip install -r requirements.txt (or make install). Ensure Python 3.10+. If headless, you need a virtual display or connected projector; Pygame needs a display. Run smartpi healthcheck and check terminal or logs."
"BOM location","Main BOM: hardware/bom.csv. IR pen BOM: hardware/ir_pen/pen_bom.csv. See docs/01_bill_of_materials.md for parts list and replication."
"Where is BOM","Main BOM: hardware/bom.csv. IR pen BOM: hardware/ir_pen/pen_bom.csv. See docs/01_bill_of_materials.md for parts list and replication."
"Parts list","Main BOM: hardware/bom.csv. IR pen BOM: hardware/ir_pen/pen_bom.csv. See docs/01_bill_of_materials.md for parts list and replication."
"Bill of materials location","Main BOM: hardware/bom.csv. IR pen BOM: hardware/ir_pen/pen_bom.csv. See docs/01_bill_of_materials.md for parts list and replication."
"Pi 4","Raspberry Pi 4 or 5 recommended for OpenCV; Pi Zero can play content but is slow for vision. See docs/01_bill_of_materials.md."
"Pi 5","Raspberry Pi 4 or 5 recommended for OpenCV; Pi Zero can play content but is slow for vision. See docs/01_bill_of_materials.md."
"Which Pi","Raspberry Pi 4 or 5 recommended for OpenCV; Pi Zero can play content but is slow for vision. See docs/01_bill_of_materials.md."
"Raspberry Pi model","Raspberry Pi 4 or 5 recommended for OpenCV; Pi Zero can play content but is slow for vision. See docs/01_bill_of_materials.md."
"Pi Zero","Raspberry Pi 4 or 5 recommended for OpenCV; Pi Zero can play content but is slow for vision. See docs/01_bill_of_materials.md."
"USB camera","USB: use /dev/video0 etc.; set camera_index in app.yaml. CSI: use libcamera; install libcamera-dev and python3-libcamera; for Smart Pi libcamera path set use_libcamera: true and install picamera2. Check with ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI)."
"CSI camera","USB: use /dev/video0 etc.; set camera_index in app.yaml. CSI: use libcamera; install libcamera-dev and python3-libcamera; for Smart Pi libcamera path set use_libcamera: true and install picamera2. Check with ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI)."
"USB vs CSI","USB: use /dev/video0 etc.; set camera_index in app.yaml. CSI: use libcamera; install libcamera-dev and python3-libcamera; for Smart Pi libcamera path set use_libcamera: true and install picamera2. Check with ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI)."
"Webcam","USB: use /dev/video0 etc.; set camera_index in app.yaml. CSI: use libcamera; install libcamera-dev and python3-libcamera; for Smart Pi libcamera path set use_libcamera: true and install picamera2. Check with ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI)."
"Pi camera","USB: use /dev/video0 etc.; set camera_index in app.yaml. CSI: use libcamera; install libcamera-dev and python3-libcamera; for Smart Pi libcamera path set use_libcamera: true and install picamera2. Check with ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI)."
"IR pen","IR pen: use detector: ir in app.yaml; camera should be IR-sensitive or use IR-pass filter; detect_ir_blob finds the blob. Bright pointer (laser or LED): use detector: bright; detect_bright_point finds brightest pixel above threshold."
"Bright pointer","IR pen: use detector: ir in app.yaml; camera should be IR-sensitive or use IR-pass filter; detect_ir_blob finds the blob. Bright pointer (laser or LED): use detector: bright; detect_bright_point finds brightest pixel above threshold."
"Laser pointer","IR pen: use detector: ir in app.yaml; camera should be IR-sensitive or use IR-pass filter; detect_ir_blob finds the blob. Bright pointer (laser or LED): use detector: bright; detect_bright_point finds brightest pixel above threshold."
"Pointer type","IR pen: use detector: ir in app.yaml; camera should be IR-sensitive or use IR-pass filter; detect_ir_blob finds the blob. Bright pointer (laser or LED): use detector: bright; detect_bright_point finds brightest pixel above threshold."
"IR vs bright","IR pen: use detector: ir in app.yaml; camera should be IR-sensitive or use IR-pass filter; detect_ir_blob finds the blob. Bright pointer (laser or LED): use detector: bright; detect_bright_point finds brightest pixel above threshold."
"IR pen BOM","hardware/ir_pen/pen_bom.csv lists parts for building the IR pen. View with smartpi bom --pen or open the file. Assembly and wiring are in hardware/ir_pen/README.md."
"Pen BOM","hardware/ir_pen/pen_bom.csv lists parts for building the IR pen. View with smartpi bom --pen or open the file. Assembly and wiring are in hardware/ir_pen/README.md."
"Build IR pen","hardware/ir_pen/pen_bom.csv lists parts for building the IR pen. View with smartpi bom --pen or open the file. Assembly and wiring are in hardware/ir_pen/README.md."
"IR pen parts","hardware/ir_pen/pen_bom.csv lists parts for building the IR pen. View with smartpi bom --pen or open the file. Assembly and wiring are in hardware/ir_pen/README.md."
"Camera mount","hardware/camera_mount/ has README, stl/, and cad/ for 3D-printable or CAD camera mounts. See hardware/camera_mount/README.md for how to use the files."
"Mount camera","hardware/camera_mount/ has README, stl/, and cad/ for 3D-printable or CAD camera mounts. See hardware/camera_mount/README.md for how to use the files."
"Camera bracket","hardware/camera_mount/ has README, stl/, and cad/ for 3D-printable or CAD camera mounts. See hardware/camera_mount/README.md for how to use the files."
"3D print mount","hardware/camera_mount/ has README, stl/, and cad/ for 3D-printable or CAD camera mounts. See hardware/camera_mount/README.md for how to use the files."
"Enclosure","hardware/enclosure/ holds STL files (in stl/) for the physical enclosure. See hardware/enclosure/README.md. Add or use STL files as needed for your build."
"Case","hardware/enclosure/ holds STL files (in stl/) for the physical enclosure. See hardware/enclosure/README.md. Add or use STL files as needed for your build."
"Project enclosure","hardware/enclosure/ holds STL files (in stl/) for the physical enclosure. See hardware/enclosure/README.md. Add or use STL files as needed for your build."
"STL enclosure","hardware/enclosure/ holds STL files (in stl/) for the physical enclosure. See hardware/enclosure/README.md. Add or use STL files as needed for your build."
"Scenes","Sandbox Draw (draw with pointer, corner hotzone to change color), Particle Field (pointer pushes particles), and STEM Widgets (ruler, angles, graph paper). Select with keys 1, 2, 3 in the app or as configured."
"Available scenes","Sandbox Draw (draw with pointer, corner hotzone to change color), Particle Field (pointer pushes particles), and STEM Widgets (ruler, angles, graph paper). Select with keys 1, 2, 3 in the app or as configured."
"Demo scenes","Sandbox Draw (draw with pointer, corner hotzone to change color), Particle Field (pointer pushes particles), and STEM Widgets (ruler, angles, graph paper). Select with keys 1, 2, 3 in the app or as configured."
"Scene list","Sandbox Draw (draw with pointer, corner hotzone to change color), Particle Field (pointer pushes particles), and STEM Widgets (ruler, angles, graph paper). Select with keys 1, 2, 3 in the app or as configured."
"What scenes","Sandbox Draw (draw with pointer, corner hotzone to change color), Particle Field (pointer pushes particles), and STEM Widgets (ruler, angles, graph paper). Select with keys 1, 2, 3 in the app or as configured."
"Switch scene","Press 1 for Sandbox Draw, 2 for Particle Field, 3 for STEM Widgets. Exact keys may be in the renderer; see docs or on-screen hints."
"Change scene","Press 1 for Sandbox Draw, 2 for Particle Field, 3 for STEM Widgets. Exact keys may be in the renderer; see docs or on-screen hints."
"Scene keys","Press 1 for Sandbox Draw, 2 for Particle Field, 3 for STEM Widgets. Exact keys may be in the renderer; see docs or on-screen hints."
"Key 1 2 3","Press 1 for Sandbox Draw, 2 for Particle Field, 3 for STEM Widgets. Exact keys may be in the renderer; see docs or on-screen hints."
"Overlay key","Press O in the running app to toggle the overlay (FPS, threshold, pointer position, green circle at pointer)."
"Toggle overlay","Press O in the running app to toggle the overlay (FPS, threshold, pointer position, green circle at pointer)."
"O key","Press O in the running app to toggle the overlay (FPS, threshold, pointer position, green circle at pointer)."
"FPS overlay","Press O in the running app to toggle the overlay (FPS, threshold, pointer position, green circle at pointer)."
"Pipeline","Capture (camera frames) → Detect (IR or bright point → camera x,y) → Track (smoothing in projector space) → Calibration (homography camera→projector) → Interact (PointerEvents) → Render (scenes and overlay) → Operate (CLI and scripts). See docs/04_system_architecture.md."
"Data flow","Capture (camera frames) → Detect (IR or bright point → camera x,y) → Track (smoothing in projector space) → Calibration (homography camera→projector) → Interact (PointerEvents) → Render (scenes and overlay) → Operate (CLI and scripts). See docs/04_system_architecture.md."
"Stages","Capture (camera frames) → Detect (IR or bright point → camera x,y) → Track (smoothing in projector space) → Calibration (homography camera→projector) → Interact (PointerEvents) → Render (scenes and overlay) → Operate (CLI and scripts). See docs/04_system_architecture.md."
"How it works","Capture (camera frames) → Detect (IR or bright point → camera x,y) → Track (smoothing in projector space) → Calibration (homography camera→projector) → Interact (PointerEvents) → Render (scenes and overlay) → Operate (CLI and scripts). See docs/04_system_architecture.md."
"Architecture","Capture (camera frames) → Detect (IR or bright point → camera x,y) → Track (smoothing in projector space) → Calibration (homography camera→projector) → Interact (PointerEvents) → Render (scenes and overlay) → Operate (CLI and scripts). See docs/04_system_architecture.md."
"Homography","Homography is a 3x3 matrix that maps camera image coordinates to projector pixel coordinates. It is computed from four point correspondences (four corners) and saved in configs/calibration.yaml. Used every frame to convert detected pointer position to display position."
"What is homography","Homography is a 3x3 matrix that maps camera image coordinates to projector pixel coordinates. It is computed from four point correspondences (four corners) and saved in configs/calibration.yaml. Used every frame to convert detected pointer position to display position."
"Homography matrix","Homography is a 3x3 matrix that maps camera image coordinates to projector pixel coordinates. It is computed from four point correspondences (four corners) and saved in configs/calibration.yaml. Used every frame to convert detected pointer position to display position."
"Camera to projector","Homography is a 3x3 matrix that maps camera image coordinates to projector pixel coordinates. It is computed from four point correspondences (four corners) and saved in configs/calibration.yaml. Used every frame to convert detected pointer position to display position."
"Reprojection error","Reprojection error measures how well the homography fits: median distance in projector pixels between expected and transformed points. After calibration, aim for under about 15 px at 1080p. High error means recalibrate or adjust camera."
"Validation error","Reprojection error measures how well the homography fits: median distance in projector pixels between expected and transformed points. After calibration, aim for under about 15 px at 1080p. High error means recalibrate or adjust camera."
"Calibration quality","Reprojection error measures how well the homography fits: median distance in projector pixels between expected and transformed points. After calibration, aim for under about 15 px at 1080p. High error means recalibrate or adjust camera."
"Median error","Reprojection error measures how well the homography fits: median distance in projector pixels between expected and transformed points. After calibration, aim for under about 15 px at 1080p. High error means recalibrate or adjust camera."
"create_capture","create_capture(camera_index, width, height, fps, use_libcamera) is a factory. When use_libcamera is True and picamera2 is available, it returns LibcameraCapture (Picamera2); otherwise CameraCapture (OpenCV). Same interface: open(), read(), release()."
"Capture factory","create_capture(camera_index, width, height, fps, use_libcamera) is a factory. When use_libcamera is True and picamera2 is available, it returns LibcameraCapture (Picamera2); otherwise CameraCapture (OpenCV). Same interface: open(), read(), release()."
"Camera factory","create_capture(camera_index, width, height, fps, use_libcamera) is a factory. When use_libcamera is True and picamera2 is available, it returns LibcameraCapture (Picamera2); otherwise CameraCapture (OpenCV). Same interface: open(), read(), release()."
"SmoothingTracker","SmoothingTracker smooths pointer position. Constructor: alpha, max_velocity, use_kalman, process_noise, measurement_noise. When use_kalman is False (default), uses EMA; when True, uses 2D Kalman filter. update(x,y) returns smoothed (x,y); reset() clears state when pointer is lost."
"Tracker","SmoothingTracker smooths pointer position. Constructor: alpha, max_velocity, use_kalman, process_noise, measurement_noise. When use_kalman is False (default), uses EMA; when True, uses 2D Kalman filter. update(x,y) returns smoothed (x,y); reset() clears state when pointer is lost."
"EMA","SmoothingTracker smooths pointer position. Constructor: alpha, max_velocity, use_kalman, process_noise, measurement_noise. When use_kalman is False (default), uses EMA; when True, uses 2D Kalman filter. update(x,y) returns smoothed (x,y); reset() clears state when pointer is lost."
"Smoothing","SmoothingTracker smooths pointer position. Constructor: alpha, max_velocity, use_kalman, process_noise, measurement_noise. When use_kalman is False (default), uses EMA; when True, uses 2D Kalman filter. update(x,y) returns smoothed (x,y); reset() clears state when pointer is lost."
"Kiosk mode","Copy src/smartpi/services/systemd/smartpi.service to /etc/systemd/system/, edit paths, then sudo systemctl enable smartpi. Or use the autostart desktop file in src/smartpi/services/autostart/ for graphical autostart. See build guide step 8."
"Kiosk","Copy src/smartpi/services/systemd/smartpi.service to /etc/systemd/system/, edit paths, then sudo systemctl enable smartpi. Or use the autostart desktop file in src/smartpi/services/autostart/ for graphical autostart. See build guide step 8."
"Autostart","Copy src/smartpi/services/systemd/smartpi.service to /etc/systemd/system/, edit paths, then sudo systemctl enable smartpi. Or use the autostart desktop file in src/smartpi/services/autostart/ for graphical autostart. See build guide step 8."
"Boot at startup","Copy src/smartpi/services/systemd/smartpi.service to /etc/systemd/system/, edit paths, then sudo systemctl enable smartpi. Or use the autostart desktop file in src/smartpi/services/autostart/ for graphical autostart. See build guide step 8."
"Systemd","Copy src/smartpi/services/systemd/smartpi.service to /etc/systemd/system/, edit paths, then sudo systemctl enable smartpi. Or use the autostart desktop file in src/smartpi/services/autostart/ for graphical autostart. See build guide step 8."
"Enable kiosk","Copy src/smartpi/services/systemd/smartpi.service to /etc/systemd/system/, edit paths, then sudo systemctl enable smartpi. Or use the autostart desktop file in src/smartpi/services/autostart/ for graphical autostart. See build guide step 8."
"Run on boot","Copy src/smartpi/services/systemd/smartpi.service to /etc/systemd/system/, edit paths, then sudo systemctl enable smartpi. Or use the autostart desktop file in src/smartpi/services/autostart/ for graphical autostart. See build guide step 8."
"Docker","Use Docker: docker build -f docker/Dockerfile.dev -t smartpi-dev . then docker run --rm -it smartpi-dev make test (or bash to shell in). Camera and display are limited or mocked on x86."
"Develop without Pi","Use Docker: docker build -f docker/Dockerfile.dev -t smartpi-dev . then docker run --rm -it smartpi-dev make test (or bash to shell in). Camera and display are limited or mocked on x86."
